start_node_id,end_node_id,label
2108,416,1
2914,1784,1
2914,561,1
2914,1222,1
2914,2784,1
2914,2346,1
2914,2665,1
2914,3014,1
1219,1093,1
416,2055,1
416,2817,1
2376,1750,1
1955,3809,1
1955,217,1
2838,2838,1
3568,3725,1
3568,2026,1
3568,1262,1
3568,3804,1
3568,649,1
2391,3737,1
2391,3396,1
2391,2777,1
2391,1203,1
2391,2082,1
1442,1936,1
1442,2165,1
1442,506,1
3889,3304,1
3889,707,1
3889,3285,1
3889,700,1
3889,2801,1
3889,3548,1
3889,2098,1
3889,3400,1
3889,3348,1
1853,1600,1
1853,308,1
1853,3216,1
1853,1971,1
1853,3666,1
1853,743,1
1853,722,1
2524,561,1
2524,217,1
2524,3227,1
2524,96,1
2524,1156,1
2524,441,1
2745,1044,1
97,199,1
2773,2502,1
2773,217,1
992,2066,1
992,2908,1
992,2914,1
992,1134,1
2760,1456,1
3854,1134,1
3854,2449,1
3854,2176,1
3854,217,1
3854,3381,1
3854,2020,1
3854,3564,1
3854,3512,1
3854,3014,1
3854,615,1
3854,743,1
3854,630,1
2354,2427,1
2354,1185,1
2354,1978,1
2861,483,1
1084,560,1
1084,1784,1
2558,27,1
2558,3330,1
2502,1752,1
2502,2840,1
2502,1548,1
2502,1392,1
1752,2502,1
1752,1388,1
1752,2176,1
1752,3645,1
1752,3468,1
1752,329,1
1752,1257,1
1283,3749,1
1283,1607,1
1283,1457,1
2798,3568,1
537,3498,1
1087,217,1
1087,2777,1
930,3219,1
930,2391,1
930,3089,1
2512,2871,1
2512,1456,1
3178,1051,1
3178,1638,1
3178,3373,1
3851,2545,1
3851,1516,1
3851,3626,1
3851,3671,1
3851,2032,1
1134,568,1
1134,560,1
1134,1131,1
1134,561,1
1134,2209,1
1134,992,1
1134,3538,1
1134,3014,1
1134,2914,1
1134,3718,1
1134,796,1
1134,1319,1
1134,1592,1
1134,2784,1
1134,3951,1
1134,3889,1
1101,1865,1
1109,2995,1
1109,2185,1
820,2150,1
820,3792,1
2774,540,1
2774,529,1
3645,1600,1
3645,798,1
3735,743,1
3735,1788,1
3735,783,1
3735,441,1
2656,2995,1
