start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
兴业银行,1866,中信证券,3564,cooperate,1
兴业银行,1866,中天科技,2613,cooperate,1
兴业银行,1866,孚能科技,441,cooperate,1
兴业银行,1866,东方证券,3543,cooperate,1
兴业银行,1866,中国电信,217,cooperate,1
兴业银行,1866,国泰君安,3285,cooperate,1
兴业银行,1866,厦门银行,2559,cooperate,1
安徽水利,346,设计总院,2664,cooperate,1
青岛啤酒,433,燕京啤酒,840,cooperate,1
南天信息,1336,农业银行,2914,cooperate,1
晶晨股份,942,柏楚电子,3935,cooperate,1
东吴证券,721,湖北广电,94,cooperate,1
东吴证券,721,宁德时代,743,cooperate,1
东吴证券,721,天风证券,296,cooperate,1
东吴证券,721,中信证券,3564,cooperate,1
威派格,200,上海电气,3737,cooperate,1
易尚展示,1736,利安隆,3676,cooperate,1
中国能建,2108,葛洲坝,756,cooperate,1
中国能建,2108,中国铁建,3400,cooperate,1
中国能建,2108,民生银行,560,cooperate,1
中国能建,2108,智慧能源,3626,cooperate,1
中国能建,2108,中国西电,2978,cooperate,1
中国能建,2108,东方电气,951,cooperate,1
中国能建,2108,上海电气,3737,cooperate,1
中国能建,2108,宁德时代,743,cooperate,1
中国能建,2108,中国电建,15,cooperate,1
中国能建,2108,中国银行,561,cooperate,1
中国能建,2108,深圳机场,416,cooperate,1
农业银行,2914,京东方,1784,cooperate,1
农业银行,2914,中国银行,561,cooperate,1
农业银行,2914,金风科技,1222,cooperate,1
农业银行,2914,邮储银行,2784,cooperate,1
农业银行,2914,中国船舶,2346,cooperate,1
农业银行,2914,交通银行,2665,cooperate,1
农业银行,2914,建设银行,3014,cooperate,1
京能电力,1219,永泰能源,1093,cooperate,1
深圳机场,416,白云机场,2055,cooperate,1
深圳机场,416,东方航空,2817,cooperate,1
碧水源,2376,凯美特气,1750,cooperate,1
南方航空,1955,中国国航,3809,cooperate,1
南方航空,1955,中国电信,217,cooperate,1
*ST德豪,2838,*ST德豪,2838,cooperate,1
招商银行,3568,深圳能源,3725,cooperate,1
招商银行,3568,大悦城,2026,cooperate,1
招商银行,3568,陕西煤业,1262,cooperate,1
招商银行,3568,宁波银行,3804,cooperate,1
招商银行,3568,光大银行,649,cooperate,1
上海银行,2391,上海电气,3737,cooperate,1
上海银行,2391,大智慧,3396,cooperate,1
上海银行,2391,新城控股,2777,cooperate,1
上海银行,2391,绿地控股,1203,cooperate,1
上海银行,2391,中兴通讯,2082,cooperate,1
宜安科技,1442,三祥新材,1936,cooperate,1
宜安科技,1442,硕贝德,2165,cooperate,1
宜安科技,1442,创新医疗,506,cooperate,1
上海临港,3889,国新能源,3304,cooperate,1
上海临港,3889,中国联通,707,cooperate,1
上海临港,3889,国泰君安,3285,cooperate,1
上海临港,3889,陆家嘴,700,cooperate,1
上海临港,3889,中国铝业,2801,cooperate,1
上海临港,3889,三一重工,3548,cooperate,1
上海临港,3889,数据港,2098,cooperate,1
上海临港,3889,中国铁建,3400,cooperate,1
上海临港,3889,中国平安,3348,cooperate,1
广汽集团,1853,比亚迪,1600,cooperate,1
广汽集团,1853,科大讯飞,308,cooperate,1
广汽集团,1853,赣锋锂业,3216,cooperate,1
广汽集团,1853,石头科技,1971,cooperate,1
广汽集团,1853,上汽集团,3666,cooperate,1
广汽集团,1853,宁德时代,743,cooperate,1
广汽集团,1853,中科创达,722,cooperate,1
华友钴业,2524,中国银行,561,cooperate,1
华友钴业,2524,中国电信,217,cooperate,1
华友钴业,2524,当升科技,3227,cooperate,1
华友钴业,2524,兴发集团,96,cooperate,1
华友钴业,2524,中伟股份,1156,cooperate,1
华友钴业,2524,孚能科技,441,cooperate,1
海王生物,2745,清新环境,1044,cooperate,1
青岛港,97,日照港,199,cooperate,1
航天宏图,2773,海康威视,2502,cooperate,1
航天宏图,2773,中国电信,217,cooperate,1
神州信息,992,国盾量子,2066,cooperate,1
神州信息,992,神州数码,2908,cooperate,1
神州信息,992,农业银行,2914,cooperate,1
神州信息,992,工商银行,1134,cooperate,1
